"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sti_contact_recieved,sti_register,"<font color=""red""><b>STI Contacts</b></font>",yesno,"<font color=""blue""><b>STI-13</b></font> STI Contact slips recieved",,,,,,,"[sti_access] = 'Y'",y,,,,,
sti_contact_treated,sti_register,,yesno,"<font color=""blue""><b>STI-14</b></font> STI Contact treated?",,,,,,,"[sti_access] = 'Y'",y,,,,,
prepr_access,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrePr-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
prepr_date,prep_initial_register,,text,"<span style=""color: green;""><strong>PrePr-0</strong></span> Enroll Date (Prep)",,,date_ymd,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_transfer_in,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrePr-1</strong></span> Transfer In",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_screened,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-2</strong></span> Was the client screened for PrEP eligibility?",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_screen_outcome,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-2b</strong></span> What was the screening outcome?","E, Eligible | NE, Not Eligible",,,,,,"[prepr_screened] = '1'",y,,,,,
prepr_clinical_eligible,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-3</strong></span> Clinical eligibility?",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_visit_status,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-4</strong></span> Prep  status at this visit?","N, Newly Initiated on PrEP | C, Continuing PrEP | D, Discontinued Prep",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_discontinued_reason,prep_initial_register,,checkbox,"<span style=""color: green;""><strong>PrEPr-5</strong></span> Prep  status at this visit?","1, Change in risk profile | 2, Plans to reinitiate in the future | 3, Mild adverse events | 4, Moderate adverse events | 5, Severe adverse events | 6, Creatinine fail/renal impairment | 7, Partner or parent concerns | 8, Prefers other HIV prevention strategies | 9, Pill burden | 10, Change in location | 11, Fear or periodic HIV retest | 12, Other (Specify)",,,,,,"[prepr_visit_status] = 'D'",y,,,,,
prepr_discontinued_specify,prep_initial_register,,notes,"<span style=""color: green;""><strong>PrEPr-5b</strong></span> Specify why prepr was discontinued?",,,,,,,"[prepr_discontinued_reason(12)] = '1'",y,,,,,
prepr_prep_type,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-6</strong></span> PrEP type","O, Oral, | R, Ring | I, Injectible",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_prep_number,prep_initial_register,,text,"<span style=""color: green;""><strong>PrEPr-7</strong></span> PrEP number",,"format PPDDSS-YYYY-V-#####",,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_age,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-8</strong></span> Age group at initial visit","1, 10-14 years | 2, 15-19 years | 3, 20-24 years | 4, 25-29 years | 5, 30-34 years | 6, 35-39 years | 7, 40-44 years | 8, 45-49 years | 9, 50-54 years | 10, 55-59 years | 11, 60-64 years | 12, 65+ years",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_age_explain,prep_initial_register,,notes,"<span style=""color: green;""><strong>PrEPr-8b</strong></span> Explain if client was a mature minor (Less than 16 years old)",,,,,,,"[prepr_age] = '1' or [prepr_age] = '2'",y,,,,,
prepr_entry_point,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-9</strong></span> Entry Point","A, Antenatal Clinic | B, General VCT Clinic | C, STI Clinic | D, VMMC | E, InPatient | F, TB",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_risk_assessment,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-10</strong></span> Risk Assessment Conclusion","HR, Client is at high HIV risk | NHR, Client is not at high HIV risk | AcHIV, Suspected Acute HIV infection | PEP, Post Exposure Prophylaxis offered | REQ, Client not HR but requests PrEP | ND, Not done",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_creatinine_done,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-11a</strong></span> Creatinine Clearance test done?",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_creatinine,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-11b</strong></span> Creatinine clearance","P, Pass ( greater than 60ml/min) | F, Fail ( less than 60ml/min or known renal impairment)",,,,,,"[prepr_creatinine_done] = '1'",y,,,,,
prepr_sti_screening,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-12a</strong></span> STI Screening done?",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_sti_results,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-12b</strong></span> Record the results (Section C in client form)","NEG, No STI diagnosed | HepB, Positive for Hepatitis B | HepC, Positive for Hepatitis C | Syph, Positive for Syphilis | O, Positive for other STI",,,,,,"[prepr_sti_screening] = '1'",y,,,,,
prepr_other_sti,prep_initial_register,,notes,"<span style=""color: green;""><strong>PrEPr-12c</strong></span> Specify other STIs ",,,,,,,"[prepr_sti_results] = 'O'",y,,,,,
prepr_sti,prep_initial_register,,descriptive,"<span style=""color: red;""><strong>Please complete the STI Register for this patient</strong></span>",,,,,,,"[prepr_sti_results] = 'HepB' or [prepr_sti_results] = 'HepC' or [prepr_sti_results] = 'Syph' or [prepr_sti_results] = 'O' or [prepr_other_sti] = ''",,,,,,
